Epoch,Training Loss,Validation Loss
1,1.982818520253585,0.75393367066567
2,0.4904399144977479,0.20750928609626407
3,0.19321437855818105,0.21265472336007515
4,0.22874740430324056,0.2388782802239212
5,0.22257537992073775,0.1739313476106633
6,0.14296101552308077,0.08573793714046705
7,0.06451124650894054,0.0334252025674305
8,0.02621096654286941,0.018151242475655516
9,0.017215920264723062,0.01602891870147357
10,0.015066675977653078,0.012313622587078759
11,0.010423756040553518,0.006734877360335783
12,0.005242749358999652,0.0029700599866514573
13,0.002389253767891434,0.001679955685196016
14,0.0015459841436098872,0.001331321743276927
15,0.001204372848789379,0.0009120911122725028
16,0.0007520293364443026,0.00046629604587802566
17,0.000366933333892752,0.00022638636745648782
18,0.00019434213484332107,0.00015291706508485238
19,0.00013952049505846172,0.000111246005875261
20,9.483937695752038e-05,6.314110560903539e-05
21,5.0362877805046977e-05,3.0881090547576196e-05
22,2.576686226423211e-05,1.903832642828967e-05
23,1.7171104505534216e-05,1.3652324112292856e-05
24,1.1748271161164694e-05,8.021769871416654e-06
25,6.464565377186691e-06,4.0360967104272e-06
26,3.365547821501351e-06,2.4597625617152314e-06
27,2.1996348169493322e-06,1.7201115553247378e-06
28,1.4744444396406879e-06,1.0039053029428377e-06
29,8.152076763504827e-07,5.258243846767169e-07
30,4.472496078731806e-07,3.375007477346262e-07
31,3.0393969518236107e-07,2.3754270216257408e-07
32,2.050601953049216e-07,1.445024676569119e-07
33,1.2337623482203564e-07,9.135694154339263e-08
34,8.41052772894853e-08,7.25551537135284e-08
35,6.849159589652691e-08,5.940777627904468e-08
36,5.587972489850192e-08,4.802750409330009e-08
37,4.565872943870083e-08,4.170219803300658e-08
38,4.065058084797232e-08,4.010758104532594e-08
39,4.08582004318569e-08,3.878181741340444e-08
40,3.9858796839065485e-08,3.974357661087829e-08
41,3.905320477473158e-08,3.868003051746658e-08
42,3.93603463991135e-08,3.915709888293376e-08
43,4.140014123371791e-08,4.1724835920838834e-08
44,4.2625766538939204e-08,4.1356181942072596e-08
45,4.294136647368722e-08,4.264331555606982e-08
46,4.398138262666057e-08,4.791237364432731e-08
47,4.7939217741527876e-08,4.8593288681782957e-08
48,4.916675846481761e-08,5.1388785576210526e-08
49,5.1032870915231344e-08,5.2790986028161974e-08
50,5.331081373404843e-08,5.5726134360877165e-08
51,5.500364274057957e-08,5.549059030525734e-08
52,5.8384774853518755e-08,6.153119970337616e-08
53,6.26082227048095e-08,6.985073828821879e-08
54,6.772257985124143e-08,6.926510814850229e-08
55,6.898154307715078e-08,7.54697029434204e-08
56,7.424244166012927e-08,8.257087058954893e-08
57,8.379550689827773e-08,8.49757834890921e-08
58,8.920756966007909e-08,9.369333783390961e-08
59,9.186334484844734e-08,9.823334925904394e-08
60,9.983239284466124e-08,1.0025243324111555e-07
61,1.06310099783768e-07,1.1727422649937846e-07
62,1.1736515048640745e-07,1.2644291306684037e-07
63,1.2316727621560747e-07,1.231523288960722e-07
64,1.2863664265150687e-07,1.3052700277990664e-07
65,1.3493453442516026e-07,1.3766900305437043e-07
