Epoch,Training Loss,Validation Loss
1,12.269365025917413,7.2081252982748145
2,6.215142396560934,3.293924258201654
3,2.7784046307975268,1.3615135607128852
4,1.152929014942099,0.6515779584665349
5,0.6071336923713562,0.5532591455623207
6,0.57049960357197,0.6488295355424886
7,0.6679943743706857,0.7122146659382277
8,0.7096632618698799,0.669708054737163
9,0.6456877335598935,0.5405413700688525
10,0.5060441900776111,0.3791084641816681
11,0.345846807320653,0.23470492583827285
12,0.20989735271236606,0.1333973286239145
13,0.11880581587288647,0.077533606653518
14,0.07105591157206108,0.0546703743050188
15,0.05272190430232951,0.048304952348164815
16,0.04774586242674255,0.04556000387102003
17,0.04462299762860119,0.04015356688734586
18,0.03843083568450692,0.03147770144027881
19,0.029371903555929727,0.02181935846839805
20,0.019916363597274795,0.01368453326643756
21,0.012348538877238819,0.008323282616137021
22,0.007591372901912153,0.0055624582182466535
23,0.005249646948938321,0.004424194240413634
24,0.004293717408238692,0.003879262001257428
25,0.0037661235259988267,0.003306474813269265
26,0.0031535754526726993,0.0025585251030929407
27,0.002385327485515143,0.0017725113461757324
28,0.0016214210874628695,0.0011322002542473153
29,0.0010296031054665782,0.0007237503084885098
30,0.0006689893300471843,0.0005164583152498194
31,0.000491665364896225,0.0004208163814512829
32,0.0004065413660029556,0.0003559116350674158
33,0.0003410566889216493,0.0002835860219652359
34,0.0002664983623365617,0.00020453258465863864
35,0.00018851576388044557,0.0001352809331270493
36,0.00012355359255820618,8.769665321998291e-05
37,8.09347720782658e-05,6.16060626091996e-05
38,5.830170904509917e-05,4.874888621809004e-05
39,4.684808877426671e-05,4.03292724923409e-05
40,3.853194720946925e-05,3.1755437868986034e-05
41,2.9805075419488055e-05,2.2816137658441744e-05
42,2.1041983559192056e-05,1.5194918872262134e-05
43,1.3925964724422502e-05,1.0069718865301199e-05
44,9.347130491512226e-06,7.268764301052896e-06
45,6.90003161407511e-06,5.789010679150088e-06
46,5.546205769479585e-06,4.687567141431881e-06
47,4.448090513798075e-06,3.5647938415970796e-06
48,3.323435563232732e-06,2.4877561845148813e-06
49,2.2886203949754042e-06,1.6539588088251139e-06
50,1.5243230314291022e-06,1.139871547767833e-06
51,1.0698371036282978e-06,8.652421359464013e-07
52,8.255133502049778e-07,6.953146012527253e-07
53,6.623654416932581e-07,5.421863484445265e-07
54,5.088990543232857e-07,3.908507066456187e-07
55,3.6127443881469054e-07,2.6425496188077863e-07
56,2.433448930149268e-07,1.7983773858168521e-07
57,1.6783633716471291e-07,1.3269882279758052e-07
58,1.2605848466947328e-07,1.0506583549750392e-07
59,1.0009735182403644e-07,8.234279452210222e-08
60,7.749349717456654e-08,6.020401306362432e-08
61,5.5800865382016304e-08,4.1189056684180835e-08
62,3.796867847811446e-08,2.8078504216625133e-08
63,2.6171604540287354e-08,2.0550814491710094e-08
64,1.948259012955739e-08,1.6123502093331506e-08
65,1.534180298395766e-08,1.2576309881127673e-08
66,1.1831681825067006e-08,9.190025918161162e-09
67,8.521902030857331e-09,6.3106869831379874e-09
68,5.825338654479923e-09,4.335978985645847e-09
69,4.048182080017789e-09,3.1945966320827554e-09
70,3.0288912046476522e-09,2.499982153209883e-09
71,2.3741564552619065e-09,1.9284841190526124e-09
72,1.8096486058246444e-09,1.3931545667735607e-09
73,1.2904408358805464e-09,9.554274919173843e-10
74,8.83774471850185e-10,6.659623815495154e-10
75,6.241716786176692e-10,4.988730428155361e-10
76,4.73475892135908e-10,3.8985467218890635e-10
77,3.6906601469650147e-10,2.952109389032947e-10
78,2.758362824553047e-10,2.093441775446094e-10
79,1.9364897510308217e-10,1.4368070986579395e-10
80,1.3342249020370074e-10,1.025888673423637e-10
81,9.666215561941219e-11,7.841890153706326e-11
82,7.442911178179844e-11,6.076786098044722e-11
83,5.72325569631404e-11,4.4770196673473873e-11
84,4.162098885496504e-11,3.115176710654075e-11
85,2.8829059733447406e-11,2.1649245045638538e-11
86,2.023633938719884e-11,1.5988629546208963e-11
87,1.5137300805830794e-11,1.2379653382443698e-11
88,1.1714407688602817e-11,9.374835274373279e-12
89,8.767053480518471e-12,6.682255229753394e-12
90,6.189402717337912e-12,4.617275518703455e-12
91,4.292842827142086e-12,3.3130082728589464e-12
92,3.1219742179888223e-12,2.5277494426776164e-12
93,2.3953426342704107e-12,1.94047798945352e-12
94,1.8233671865952487e-12,1.414864134095036e-12
95,1.314077512097497e-12,9.83910571190504e-13
96,9.125240405580907e-13,6.93726920913331e-13
97,6.507884841822847e-13,5.197911261158201e-13
98,4.922233004524017e-13,4.0024588857094897e-13
99,3.772640931063034e-13,2.967503886974529e-13
100,2.7641363806224624e-13,2.0847919809701484e-13
101,1.932378070272262e-13,1.458098743903442e-13
102,1.3633970153791014e-13,1.076220592039374e-13
103,1.0176210624727148e-13,8.266240427176183e-14
104,7.804152226667765e-14,6.190537866524037e-14
105,5.779424268979284e-14,4.389731725465995e-14
106,4.0700610291736234e-14,3.063470618010773e-14
107,2.858955413908037e-14,2.2387620368977116e-14
108,2.1137736635497235e-14,1.7124458811288107e-14
109,1.6176550449198976e-14,1.2886353300832634e-14
110,1.2047207991375869e-14,9.195499779854583e-15
111,8.529991401950923e-15,6.4209875833471375e-15
112,5.986999335552825e-15,4.66992978922321e-15
113,4.404643976472312e-15,3.559917469913775e-15
114,3.36236215910993e-15,2.6815690517671144e-15
115,2.5079505829901713e-15,1.9191856427537962e-15
116,1.7807257118675296e-15,1.3425848057761458e-15
117,1.2514397016427529e-15,9.759832914887087e-16
118,9.19826065587219e-16,7.427779624136238e-16
119,7.009010058722094e-16,5.587197945354069e-16
120,5.220639641137464e-16,3.9990362299178505e-16
121,3.7077915082545216e-16,2.805476313928816e-16
122,2.6130877063473546e-16,2.0476539148963954e-16
123,1.9265139857346938e-16,1.5595485981411628e-16
124,1.466822032526148e-16,1.1698647100775223e-16
125,1.0885299127337788e-16,8.367330968737434e-17
126,7.724006110860725e-17,5.909079394614338e-17
127,5.475503597313012e-17,4.358857511137917e-17
128,4.067287347447754e-17,3.337032463427858e-17
129,3.09928714534957e-17,2.5036535341357263e-17
130,2.2915519902812383e-17,1.801964189026056e-17
131,1.6299717229035668e-17,1.2992945864831494e-17
132,1.1721557456617762e-17,9.845353673161537e-18
133,8.848637848320103e-18,7.687846850641167e-18
134,6.790547491568748e-18,5.885229430977882e-18
135,5.051885333210512e-18,4.407757373290386e-18
136,3.67244436216346e-18,3.3868592365877263e-18
137,2.7475903822190747e-18,2.7446686650227458e-18
138,2.1581785743294777e-18,2.279566979601374e-18
139,1.7132860411488654e-18,1.8841613984182756e-18
140,1.3364107592030823e-18,1.5716527034360873e-18
141,1.049513001131518e-18,1.362609408864995e-18
142,8.622498243478846e-19,1.2267943067582255e-18
143,7.3797625626614325e-19,1.120893879670926e-18
144,6.384081811095531e-19,1.0302944574252663e-18
145,5.550538012523427e-19,9.612480477421971e-19
146,4.941696769187056e-19,9.148518616495405e-19
147,4.542412451681776e-19,8.816141003420568e-19
148,4.254087946971614e-19,8.533315611905086e-19
149,4.0097561526635544e-19,8.290726332421392e-19
150,3.808390078342227e-19,8.104534076933782e-19
151,3.662558272276152e-19,7.965423632460288e-19
152,3.5579381621538695e-19,7.847989347727717e-19
153,3.472057071911773e-19,7.739488181436756e-19
154,3.3944963089903265e-19,7.642773801222616e-19
155,3.330165355857894e-19,7.559309138595741e-19
156,3.27738797451017e-19,7.485933906015211e-19
157,3.2324781851755714e-19,7.416720467876363e-19
158,3.1923588599810063e-19,7.350075499292696e-19
159,3.1540680918760765e-19,7.287255935178278e-19
160,3.11935818280407e-19,7.227546792338102e-19
161,3.087760049880877e-19,7.168517518054663e-19
162,3.0575155400422155e-19,7.111589421803797e-19
163,3.0271811756979078e-19,7.057433383710659e-19
164,2.999967034174875e-19,7.004174730358469e-19
165,2.9737125104073347e-19,6.952229063796062e-19
166,2.9478929945076665e-19,6.901186801622606e-19
167,2.9228381635557085e-19,6.849975884047088e-19
168,2.898342916018314e-19,6.799887250126306e-19
169,2.8739071908545993e-19,6.750575832244118e-19
170,2.8503090974178943e-19,6.70150298673943e-19
171,2.827309783227886e-19,6.6534569010829335e-19
172,2.804448381806107e-19,6.607048736168108e-19
173,2.7829305010814873e-19,6.56206635349739e-19
174,2.7621950189527153e-19,6.517814894253285e-19
175,2.7416861007702014e-19,6.473756842049777e-19
176,2.7218401085996063e-19,6.430204181069969e-19
177,2.7017374282677307e-19,6.3871834364460355e-19
178,2.6815791466204906e-19,6.345406928749761e-19
179,2.663192281883648e-19,6.303152544697566e-19
180,2.644498049576694e-19,6.261989714186166e-19
181,2.6260208851015056e-19,6.221772615885983e-19
182,2.6078189912074397e-19,6.182745599475093e-19
183,2.59088813946563e-19,6.143574674420023e-19
184,2.573885219692271e-19,6.105235204679729e-19
185,2.557135519687187e-19,6.067599896181118e-19
186,2.540338512752088e-19,6.030225808122977e-19
187,2.5249327268010807e-19,5.992099414981716e-19
188,2.5083138376545567e-19,5.955000837809387e-19
189,2.4930103528891667e-19,5.917783418565102e-19
190,2.476741778650603e-19,5.8813220286325165e-19
191,2.4616866091340698e-19,5.84687826283433e-19
192,2.449305050974808e-19,5.821537036757098e-19
193,2.453033682858819e-19,5.876823980769515e-19
194,2.605253419171626e-19,6.730870107332425e-19
195,4.2763486442007074e-19,1.5965230136085078e-18
196,2.2171762781504194e-18,1.1789812621704936e-17
197,2.226639622745736e-17,1.2984483519713602e-16
198,2.584424671558803e-16,1.5665423041296083e-15
199,3.1816033035515595e-15,1.992066234741466e-14
200,4.115083268055139e-14,2.657451731953524e-13
201,5.578816591855644e-13,3.706310045256079e-12
202,7.87649289226044e-12,5.30101781054545e-11
203,1.1156444274690817e-10,7.090580774671413e-10
204,1.367141625340298e-09,6.536681073992073e-09
205,9.769240050389077e-09,2.2499783360617508e-08
206,2.4172521012568295e-08,2.516277462646091e-08
207,2.5275526964751543e-08,2.8531639596991684e-08
208,2.922331311740447e-08,2.978537995964346e-08
209,3.016538543455149e-08,3.246504014643844e-08
210,3.2631525226204e-08,3.300942816417661e-08
211,3.343736509894723e-08,3.478655418423114e-08
212,3.48460431475431e-08,3.570499030155877e-08
213,3.61353597597749e-08,3.706059422516159e-08
214,3.728701125099499e-08,3.838545189529335e-08
215,3.875139457632486e-08,3.9439065109975917e-08
216,3.9806742671144244e-08,4.078128012239345e-08
217,4.113071327906618e-08,4.183236081484993e-08
218,4.22142719886193e-08,4.302188183054397e-08
219,4.3289375731739006e-08,4.426311141057386e-08
220,4.458894325707367e-08,4.541515400272293e-08
221,4.5563590837711984e-08,4.6799143743950014e-08
222,4.6966476284483756e-08,4.8045908390987446e-08
223,4.815270602220579e-08,4.914621685169068e-08
224,4.918136191564215e-08,5.019066569347858e-08
225,5.0401580206034453e-08,5.122904992171405e-08
226,5.147842049203364e-08,5.2495819786038417e-08
227,5.2857930269902794e-08,5.339398430252702e-08
228,5.37866346440935e-08,5.436885585867665e-08
229,5.482248482323948e-08,5.54997053499172e-08
230,5.580066810420145e-08,5.651615926410678e-08
231,5.6885538723715064e-08,5.8014956152870474e-08
232,5.818258541873298e-08,5.936265435490474e-08
