Epoch,Training Loss,Validation Loss
1,0.4922592453506415,0.8840575350557026
2,0.8909960381181738,0.6219947731100255
3,0.4249359169002814,0.163754912961746
4,0.14732178055732595,0.1649060255097828
5,0.16483852613240976,0.12739200011636784
6,0.09435850715285078,0.04489871959236532
7,0.038748141388085064,0.03702890580384009
8,0.035460912834212654,0.026127322065334607
9,0.01960849639703296,0.010553592493510906
10,0.009606927804345636,0.008916173220254417
11,0.007921966774283522,0.005074568176526733
12,0.0038653479528845004,0.002536678306660102
13,0.0024171775395638354,0.0020399494656319355
14,0.001648888359635765,0.0009468382200065118
15,0.0007987586406933073,0.0006597778810980573
16,0.0005906826288274805,0.0003966961775245281
17,0.00031010441360751663,0.00020967152464115897
18,0.0001940932769014654,0.00015208784604990656
19,0.00012143589603305206,7.375333814463401e-05
20,6.526881077028693e-05,5.339006518630653e-05
21,4.49085860681048e-05,2.786950269355528e-05
22,2.3259207168927757e-05,1.816136739764029e-05
23,1.595779741759096e-05,1.0650990737816076e-05
24,8.626933959544732e-06,6.295522534218334e-06
25,5.666798116568151e-06,4.068722892451111e-06
26,3.2920935436442556e-06,2.310454374782683e-06
27,2.1032765584255453e-06,1.6095623663448323e-06
28,1.3383790276429884e-06,9.730936567489596e-07
29,9.037389469610414e-07,7.614327991867261e-07
30,6.738671314177502e-07,5.470497402054615e-07
31,5.376812792323059e-07,5.091951372576652e-07
32,4.922614050091005e-07,4.7108216975989553e-07
33,4.7506363764330705e-07,4.937648162436126e-07
34,4.954145913411974e-07,4.962692478523257e-07
35,5.013255903788276e-07,5.134011973153514e-07
36,5.212858651555623e-07,5.286538776829236e-07
37,5.280020609004776e-07,5.290211807960135e-07
38,5.349096741027582e-07,5.424775468654844e-07
39,5.419266544504585e-07,5.485673937038821e-07
40,5.506911887542197e-07,5.57782002325147e-07
41,5.624968385127584e-07,5.71428004545258e-07
42,5.707129923343627e-07,5.843138030525497e-07
43,5.816576924630952e-07,6.113800076593579e-07
44,6.133424922592694e-07,6.274336480743376e-07
45,6.329405250016917e-07,6.376259712955686e-07
46,6.580735468312486e-07,6.896959278914917e-07
47,6.939791314803094e-07,6.977334647642447e-07
48,7.072179848267792e-07,7.426627997601465e-07
49,7.619718961674937e-07,7.898245315438767e-07
50,7.9788540265491e-07,8.222783326185312e-07
51,8.32588628114831e-07,8.48072221744056e-07
52,8.813364362217775e-07,9.162807566212213e-07
53,9.421951612104247e-07,9.619484490525863e-07
54,9.812879019790584e-07,1.0296729340233511e-06
55,1.0667522247662415e-06,1.1242497359382716e-06
56,1.1291749594807552e-06,1.1942668685224402e-06
57,1.221092522389195e-06,1.2861790956701874e-06
58,1.3111466191549766e-06,1.3453006778710951e-06
59,1.3832925903856113e-06,1.4658047705400004e-06
60,1.4995969013199035e-06,1.5561162394224909e-06
61,1.6102366597900782e-06,1.6874168642233307e-06
62,1.7094035305722891e-06,1.785006966094549e-06
63,1.8220331233852895e-06,1.9040452085792289e-06
64,1.939259365609721e-06,1.967315814770345e-06
65,2.034107127165047e-06,2.1326032244701685e-06
66,2.176820890450369e-06,2.240559789351212e-06
67,2.2347494169923208e-06,2.284044875255164e-06
68,2.3213260789458335e-06,2.3758491281051592e-06
69,2.393519351142379e-06,2.464695875078218e-06
70,2.4754857434288235e-06,2.4175569280918327e-06
71,2.4372935157235985e-06,2.43446990334106e-06
72,2.460623501624116e-06,2.4876922125904383e-06
73,2.4766197883783975e-06,2.508492767665338e-06
74,2.4907004280751183e-06,2.449975488920732e-06
75,2.4663662190105165e-06,2.4796863807391653e-06
76,2.492346024129694e-06,2.5468018563529996e-06
77,2.51393096968432e-06,2.4858057360731223e-06
78,2.511900042327394e-06,2.4444089251836977e-06
79,2.462342969912455e-06,2.5318674829167004e-06
80,2.4923667312217564e-06,2.5347361921773425e-06
81,2.4922217772045912e-06,2.4694720067133874e-06
82,2.520517532136418e-06,2.531845640314868e-06
83,2.54007554969146e-06,2.5651045271596613e-06
84,2.5384589040790044e-06,2.5923494018375615e-06
85,2.5662037302477405e-06,2.4769639851451195e-06
86,2.521958920062117e-06,2.5623424718169896e-06
87,2.561575773488725e-06,2.615864633866233e-06
88,2.579494485592194e-06,2.594787279346705e-06
89,2.6002193655194653e-06,2.5117760029682423e-06
90,2.6045262017741054e-06,2.6356589980947586e-06
91,2.6649959935970554e-06,2.700488062292087e-06
92,2.6861665692835104e-06,2.6876386419490214e-06
93,2.7443249431078045e-06,2.6898200446342646e-06
94,2.7079063527910065e-06,2.7475774524839566e-06
95,2.7648606235092934e-06,2.8485942192030287e-06
96,2.81405718440001e-06,2.7546290304979714e-06
97,2.823459206145547e-06,2.873721961564416e-06
98,2.907233952374675e-06,2.9227809865116046e-06
99,2.9513284722521566e-06,3.0463261688934076e-06
100,1.396041279217318e-06,1.6032417981918965e-06
101,8.950785587972814e-07,7.181568496105165e-07
102,5.507911542128835e-07,2.727292725425459e-07
103,3.138686947448922e-07,1.0400742801215531e-07
104,1.669885522631355e-07,6.106026560630694e-08
105,8.710820980035305e-08,5.235662161219574e-08
106,4.797013148416749e-08,4.3255817255068347e-08
107,2.9087995620982853e-08,3.000062859871676e-08
108,1.879848503098206e-08,1.739043297866132e-08
109,1.2134192400484223e-08,8.639400910552786e-09
110,7.493637907315628e-09,3.896194729283121e-09
111,4.378222398253839e-09,1.8247627410867462e-09
112,2.4503236945514885e-09,1.0593568854461606e-09
113,1.3512239940284416e-09,7.602292875146749e-10
114,7.593815951051204e-10,5.717021602033109e-10
115,4.4486669855040544e-10,4.040676784484861e-10
116,2.712879223752473e-10,2.604292561135833e-10
117,1.6875955400548975e-10,1.5366985640034075e-10
118,1.0467062228203207e-10,8.451201647586019e-11
119,6.379304602405248e-11,4.4560111747332996e-11
120,3.8034389699189965e-11,2.3409625391481678e-11
121,2.2255686727235132e-11,1.2771446984711337e-11
122,1.2880234589903013e-11,7.420568089971393e-12
123,7.439991708623234e-12,4.5656588445670154e-12
124,4.322045007115459e-12,2.893572591204672e-12
125,2.5354841212165546e-12,1.835583310832376e-12
126,1.50228186586061e-12,1.1443625837993196e-12
127,8.965345305189972e-13,6.958805368885988e-13
128,5.368242203910176e-13,4.1281396427313515e-13
129,3.2140217580023445e-13,2.401179000973747e-13
130,1.91968048785228e-13,1.380392302286972e-13
131,1.1426777105663386e-13,7.912493394333577e-14
132,6.777708746294488e-14,4.5547649682149014e-14
133,4.0075188218384126e-14,2.6417283822082964e-14
134,2.363547189192981e-14,1.5422824098319655e-14
135,1.391437174044266e-14,9.036395338816206e-15
136,8.183780357112503e-15,5.305262009342084e-15
137,4.813709036601804e-15,3.1273162912717436e-15
138,2.834477671615743e-15,1.8591980972671877e-15
139,1.6719047703847138e-15,1.1180093879843353e-15
140,9.878868684492733e-16,6.786126839539295e-16
141,5.844298808273444e-16,4.1305456647757887e-16
142,3.459416650275007e-16,2.5046812198763607e-16
143,2.0483257682272613e-16,1.509765974901246e-16
144,1.2135425572817185e-16,9.073316185806336e-17
145,7.19852560802317e-17,5.4631143010113845e-17
146,4.277277679689786e-17,3.3039585561059857e-17
147,2.5460886061687416e-17,2.0053397789635848e-17
148,1.5184869623041928e-17,1.2204049106500354e-17
149,9.081128802828378e-18,7.472344097846442e-18
150,5.457381844582171e-18,4.645146621012976e-18
151,3.3077428872731097e-18,2.9699791869894815e-18
152,2.0329781905859087e-18,1.9797408968441715e-18
153,1.2767757211154582e-18,1.392764845630007e-18
154,8.280436327040753e-19,1.0439284015736207e-18
155,5.618480043550443e-19,8.372367269422184e-19
156,4.0405250568469516e-19,7.155167279414855e-19
157,3.1060208198772303e-19,6.441762965509133e-19
158,2.552767924632772e-19,6.022921853015122e-19
159,2.2251568781197433e-19,5.776263878239117e-19
160,2.0309850639863643e-19,5.630185271454401e-19
161,1.9159733177886713e-19,5.540424967795733e-19
162,1.8477611945057608e-19,5.488549870964452e-19
163,1.807567328594137e-19,5.459743017173749e-19
164,1.7836773852069857e-19,5.44120978299999e-19
165,1.7695822040382463e-19,5.429329325453063e-19
166,1.7612786977159496e-19,5.421868837076384e-19
167,1.756354910695585e-19,5.420308610826691e-19
168,1.753425137970124e-19,5.420908072297698e-19
169,1.7516984115875072e-19,5.420544487455276e-19
170,1.7507313329500633e-19,5.422442400183953e-19
171,1.7501078744093155e-19,5.420424631023755e-19
172,1.7497351248631371e-19,5.416887262013113e-19
173,1.749488070229897e-19,5.414619743158724e-19
174,1.7493586092392314e-19,5.413654126029919e-19
175,1.7492828311006853e-19,5.413415757744578e-19
176,1.7492330672756414e-19,5.412777178020276e-19
177,1.7492704927031758e-19,5.413048586544785e-19
178,1.7493339099765447e-19,5.410226933164867e-19
179,1.749205766487043e-19,5.411365589842511e-19
180,1.7491596275890522e-19,5.411390070839721e-19
181,1.7491910638974765e-19,5.411332893049828e-19
182,1.7491261831469234e-19,5.409301067959691e-19
183,1.7491280225722488e-19,5.40736659933048e-19
184,1.7491821334585906e-19,5.40502396724878e-19
185,1.7491571380856406e-19,5.403646552275339e-19
186,1.7491174135801804e-19,5.403259561219308e-19
187,1.749108272374976e-19,5.403993343179114e-19
188,1.7491531608443134e-19,5.404948466921665e-19
189,1.7491675385373737e-19,5.403828674341731e-19
190,1.749141208953211e-19,5.405392933583044e-19
191,1.749152769129825e-19,5.406081306029596e-19
192,1.749179871337158e-19,5.404429448262417e-19
193,1.7491118875250505e-19,5.405563982696335e-19
194,1.749101014431602e-19,5.40683200214867e-19
195,1.7491464091466327e-19,5.408641677824631e-19
196,1.7491610576367382e-19,5.40645067743781e-19
197,1.7491059986716672e-19,5.405099548246406e-19
198,1.749069919489418e-19,5.402727886055936e-19
199,1.7490625134664189e-19,5.399689545167245e-19
200,1.749073106743232e-19,5.397574931781409e-19
201,1.7490824142979348e-19,5.395996600310074e-19
202,1.7490527887891555e-19,5.394084995363872e-19
203,1.7490284653560596e-19,5.391368275626344e-19
204,1.7490770209067793e-19,5.389467089760041e-19
205,1.7491039447370612e-19,5.390268373156793e-19
206,1.7490592625581855e-19,5.389759527613523e-19
207,1.7490891099686097e-19,5.389438573791243e-19
208,1.7490985980370113e-19,5.389915135484723e-19
209,1.7490809114481804e-19,5.389266650357732e-19
210,1.749067439186315e-19,5.38848509737133e-19
211,1.749073409540555e-19,5.386270769998829e-19
212,1.7490708947021661e-19,5.385839759477719e-19
213,1.7490697957008594e-19,5.384855268732667e-19
214,1.7491183637361147e-19,5.38406822281709e-19
215,1.7491548267163156e-19,5.386256957963908e-19
216,1.749094741187324e-19,5.386227431175804e-19
217,1.7490733916601692e-19,5.384967892744907e-19
218,1.7490846444197625e-19,5.384426960663332e-19
219,1.7490781816955143e-19,5.38595001675399e-19
220,1.74908256453366e-19,5.388565857677813e-19
221,1.74910427767696e-19,5.388875956568328e-19
222,1.7491820523907994e-19,5.392198853015186e-19
223,1.7491129047754746e-19,5.391990909416681e-19
224,1.749090417394631e-19,5.392533325884278e-19
225,1.7491012672506676e-19,5.393673696047561e-19
226,1.7491115755605632e-19,5.39372811842832e-19
227,1.749121276924296e-19,5.392896201273212e-19
228,1.7491052522164691e-19,5.393361443030707e-19
229,1.7491088478402232e-19,5.393413229002024e-19
230,1.7491168136873984e-19,5.393216746800532e-19
231,1.7491316592821586e-19,5.394256771461804e-19
232,1.749187542667205e-19,5.392924151802731e-19
233,1.7491853365218963e-19,5.395325089551235e-19
234,1.7491268820632655e-19,5.396650548199052e-19
235,1.7491359119642792e-19,5.396687363738824e-19
236,1.749104507180264e-19,5.395465401928929e-19
237,1.7491760008941112e-19,5.392452363103975e-19
238,1.7492407766157202e-19,5.388816348604261e-19
239,1.749100974347751e-19,5.389074306254802e-19
240,1.749222052006973e-19,5.387597129201689e-19
241,1.7491195325470882e-19,5.390963386016441e-19
242,1.7490683656401936e-19,5.393438548653695e-19
243,1.7490685926714807e-19,5.394654774264642e-19
244,1.7491023591992122e-19,5.3952308521423e-19
245,1.7491572224624368e-19,5.398155972249899e-19
246,1.7491405853332573e-19,5.399208548493793e-19
247,1.7491110193623163e-19,5.399565364443908e-19
248,1.7490937144523265e-19,5.398405812761843e-19
249,1.749100962435422e-19,5.398113398053169e-19
250,1.7492286924901144e-19,5.398853514381459e-19
251,1.7490621826813984e-19,5.39589436809418e-19
252,1.7490819135163805e-19,5.393917083823198e-19
253,1.7491036330938869e-19,5.390717048632795e-19
254,1.7492168228935909e-19,5.387771432002288e-19
255,1.7490911619611075e-19,5.388676995633857e-19
256,1.7491124373643558e-19,5.391917602225283e-19
257,1.7491055769122916e-19,5.393163587947424e-19
258,1.7490856193788703e-19,5.39370550811926e-19
259,1.7491177781515297e-19,5.392962959155151e-19
260,1.7491611444620094e-19,5.391265473974286e-19
261,1.7491471311447018e-19,5.393177440442253e-19
262,1.7490975850141792e-19,5.392490395231385e-19
263,1.7491125637469699e-19,5.390997026191584e-19
264,1.749103248300006e-19,5.391343183396163e-19
265,1.749176930549803e-19,5.391617175258119e-19
266,1.7490851416750972e-19,5.388325905568166e-19
267,1.7491399974311316e-19,5.385905465136486e-19
