Epoch,Training Loss,Validation Loss
1,0.4999445977528542,0.8840575350557026
2,0.8870212830429048,0.6219947731100255
3,0.4188311103756594,0.163754912961746
4,0.14753113137736548,0.1649060255097828
5,0.16431251049852785,0.12739200011636784
6,0.09324548337416369,0.04489871959236532
7,0.03868019279957651,0.03702890580384009
8,0.035311517959801496,0.026127322065334604
9,0.019399893951153508,0.010553592493510906
10,0.009592504943028154,0.008916173220254417
11,0.00786883413518481,0.005074568176526732
12,0.0038326694449008435,0.002536678306660102
13,0.0024114945611948668,0.002039949465631935
14,0.0016339023694425503,0.0009468382200065112
15,0.0007954797189260216,0.0006597778810980571
16,0.0005870916498898699,0.00039669617752452783
17,0.00030769266958440684,0.00020967152464115867
18,0.00019338099366061464,0.00015208784604990626
19,0.00012037547624161205,7.375333814463372e-05
20,6.503556747519803e-05,5.3390065186306265e-05
21,4.455787317222008e-05,2.7869502693555012e-05
22,2.3143004545126623e-05,1.8161367397640025e-05
23,1.585562715806363e-05,1.0650990737815812e-05
24,8.57208445353975e-06,6.29552253421808e-06
25,5.637326994596594e-06,4.0687228924508605e-06
26,3.269233422075882e-06,2.310454374782454e-06
27,2.094349874976272e-06,1.6095623663445892e-06
28,1.3299611959106683e-06,9.73093656748728e-07
29,9.010274674119283e-07,7.614327991864952e-07
30,6.7096685576689e-07,5.470497402052401e-07
31,5.373368452120088e-07,5.091951372574461e-07
32,4.915338369789002e-07,4.710821697596748e-07
33,4.7541466929483294e-07,4.937648162433659e-07
34,4.954880023674052e-07,4.962692478522471e-07
35,5.015687308470641e-07,5.134011973148342e-07
36,5.212628751953804e-07,5.286538776828764e-07
37,5.279751396882e-07,5.290211807960284e-07
38,5.349172574411985e-07,5.424775468653813e-07
39,5.420884802761604e-07,5.485673937039655e-07
40,5.508639793370742e-07,5.577820023255233e-07
41,5.62752543585645e-07,5.714280045454102e-07
42,5.711042868314936e-07,5.843138030520328e-07
43,5.819383843434018e-07,6.113800076591553e-07
44,6.135561758789414e-07,6.274336480739086e-07
45,6.329666353407998e-07,6.37625971295209e-07
46,6.586722498803691e-07,6.89695927891055e-07
47,6.939252077394051e-07,6.977334647647107e-07
48,7.07776624050132e-07,7.426627997588978e-07
49,7.626919715492841e-07,7.898245315422845e-07
50,7.980763130504498e-07,8.22278332617381e-07
51,8.332527089145005e-07,8.480722217432615e-07
52,8.818557981147718e-07,9.162807566211276e-07
53,9.425266249772514e-07,9.619484490521191e-07
54,9.825472922052436e-07,1.029672934029439e-06
55,1.0679463535643688e-06,1.124249735937303e-06
56,1.1298924025201739e-06,1.1942668685229753e-06
57,1.222636252560736e-06,1.2861790956712062e-06
58,1.3121712722770745e-06,1.3453006778695162e-06
59,1.3843939652085457e-06,1.4658047705361383e-06
60,1.5008883765624905e-06,1.5561162394212006e-06
61,1.6122682158481902e-06,1.6874168642312107e-06
62,1.7102415649795116e-06,1.7850069660766062e-06
63,1.8224504148662746e-06,1.904045208573806e-06
64,1.9402066118832568e-06,1.96731581470725e-06
65,2.0358119736520377e-06,2.132603224513462e-06
66,2.1771058367096585e-06,2.240559789351574e-06
67,2.2356553100678727e-06,2.284044875314123e-06
68,2.323610781852058e-06,2.3758491281897706e-06
69,2.393362366284568e-06,2.4646958751253933e-06
70,2.474691497341728e-06,2.4175569281768295e-06
71,2.43849956157175e-06,2.434469903182391e-06
72,2.461295136145792e-06,2.4876922127577748e-06
73,2.476185673459487e-06,2.5084927675585516e-06
74,2.49105354860309e-06,2.44997548900743e-06
75,2.4674558383674422e-06,2.479686380923311e-06
76,2.4919937037197173e-06,2.5468018565795614e-06
77,2.512265850635702e-06,2.485805737407508e-06
78,2.513162461146145e-06,2.4444089259234225e-06
79,2.463428553535476e-06,2.5318674821700828e-06
80,2.4911504696575303e-06,2.5347361923817993e-06
81,2.491680587012697e-06,2.4694720065579856e-06
82,2.522135985443482e-06,2.531845641280662e-06
83,2.53922054884311e-06,2.5651045271839737e-06
84,2.5371486579083014e-06,2.592349401919949e-06
85,2.5659932996731816e-06,2.476963983770689e-06
86,2.5243209569633233e-06,2.562342471452463e-06
87,2.5611863824157073e-06,2.615864633148233e-06
88,2.5782454171898587e-06,2.594787279177067e-06
89,2.6003381891884274e-06,2.5117760057727235e-06
90,2.605966329579478e-06,2.635658954862045e-06
91,2.6632522621127484e-06,2.7004880854379746e-06
92,2.6861529275065835e-06,2.6876386481304303e-06
93,2.7457104960369486e-06,2.689820041525599e-06
94,2.7095983138514477e-06,2.7475774396099727e-06
95,2.764055754937416e-06,2.848594225085437e-06
96,2.812278848325176e-06,2.7546290287894873e-06
97,2.8266578812450597e-06,2.873721968964696e-06
98,2.9081935082904884e-06,2.9227809683301177e-06
99,2.950563594539703e-06,3.0463261738770835e-06
100,1.3806487373160066e-06,1.6032418004957836e-06
101,8.777517990016252e-07,7.181568506269675e-07
102,5.385648649944693e-07,2.7272927327587433e-07
103,3.0798456206665447e-07,1.0400742880430373e-07
104,1.6532356735746148e-07,6.10602663843202e-08
105,8.716942927400366e-08,5.235662221928305e-08
106,4.827756965606469e-08,4.3255817626865154e-08
107,2.91679228270628e-08,3.00006287735695e-08
108,1.868658173521851e-08,1.7390433035925137e-08
109,1.197485773750034e-08,8.639400917723196e-09
110,7.374161581057144e-09,3.896194723903614e-09
111,4.315860584694231e-09,1.8247627366437676e-09
112,2.4281452234992502e-09,1.0593568835735455e-09
113,1.3479476569314852e-09,7.602292866918368e-10
114,7.613639640418429e-10,5.717021593427791e-10
115,4.464620225534756e-10,4.04067677377524e-10
116,2.714438161623127e-10,2.604292550675057e-10
117,1.6804787196177373e-10,1.536698555904744e-10
118,1.0377616229567014e-10,8.45120159550231e-11
119,6.307722335457296e-11,4.4560111453343817e-11
120,3.757870244338553e-11,2.34096252270276e-11
121,2.2008519172443862e-11,1.2771446869437925e-11
122,1.2762015017630784e-11,7.420567975565402e-12
123,7.388450420903047e-12,4.565658710155085e-12
124,4.3002306757723174e-12,2.8935724329051268e-12
125,2.525358179320166e-12,1.835583132203668e-12
126,1.4964606466763572e-12,1.1443623901335512e-12
127,8.924969402859381e-13,6.958803334824201e-13
