Epoch,Training Loss,Validation Loss
1,18.50941714400905,15.455848129653267
2,14.700848993064112,12.12900511898643
3,11.500427203179312,9.372161056151107
4,8.857751195670659,7.126473323862151
5,6.712680300107748,5.3285242484524975
6,5.001486614010929,3.914417303098664
7,3.6606362114223976,2.8226121580389014
8,2.6294250915209214,1.995902762772917
9,1.851800337994741,1.3827065861864565
10,1.2775200325767488,0.9377872544200344
11,0.8627700347179412,0.622513217774269
12,0.5703363307513137,0.4047422269421531
13,0.36942296270423497,0.2584236810016435
14,0.2352072981622795,0.16300683930241425
15,0.1482189571681975,0.10273435648429877
16,0.09361921254807205,0.0658874064173725
17,0.06044449292013453,0.044037404571560745
18,0.0408664356359534,0.03134609624461034
19,0.029507078545191006,0.02394191153477694
20,0.02283451839511255,0.019388766207687678
21,0.018652791614249865,0.01625278901484551
22,0.015689508653531282,0.013764230628187086
23,0.013277106169933005,0.011565715144162863
24,0.011117795517258696,0.009533961797473688
25,0.009119012960247927,0.007661045205041616
26,0.007285329151445516,0.005981119011686592
27,0.005652988811939877,0.004530035618363484
28,0.004254926583514778,0.0033271893871141297
29,0.003106022084613421,0.0023710631697261533
30,0.002200574854309249,0.0016421894427415288
31,0.0015161412495372207,0.0011091824880810062
32,0.0010197775046478764,0.0007351721397935042
33,0.0006743044451677867,0.0004831701339012452
34,0.0004433335835865489,0.00031978955807181105
35,0.0002946175345175609,0.00021729941317555205
36,0.00020178308222791716,0.00015429335978823266
37,0.00014476114973616493,0.00011536983987453395
38,0.00010931725976443096,9.02288580993786e-05
39,8.607779750577334e-05,7.252588446351694e-05
40,6.937210057238375e-05,5.8727892497804816e-05
41,5.611489985621682e-05,4.712215130684061e-05
42,4.486052620008873e-05,3.704564730774253e-05
43,3.508279202515903e-05,2.834508455431648e-05
44,2.6681243019565982e-05,2.1039742133744455e-05
45,1.9680952047527624e-05,1.5141842379076707e-05
46,1.4079438655602568e-05,1.0586341949669511e-05
47,9.793020002405356e-06,7.226203062860152e-06
48,6.660665596205132e-06,4.8592403498965206e-06
49,4.473793132970649e-06,3.263514211482983e-06
50,3.0112228614705174e-06,2.2280912795652803e-06
51,2.0678862133018504e-06,1.5734366041672543e-06
52,1.4727456055892739e-06,1.1606126333898161e-06
53,1.0958520642022744e-06,8.913974928867009e-07
54,8.470069807101468e-07,7.026281539851292e-07
55,6.69361389810163e-07,5.578868903949693e-07
56,5.309186427397244e-07,4.389030540315669e-07
57,4.1613461380429687e-07,3.381748070460641e-07
58,3.189245663171948e-07,2.534778699848556e-07
59,2.376078545604455e-07,1.8435359902108168e-07
60,1.7178066368188626e-07,1.302538114535816e-07
61,1.2074579637016117e-07,8.986469730066205e-08
62,8.301540000276739e-08,6.113262837090905e-08
63,5.642531623246643e-08,4.160646008515361e-08
64,3.850128629252438e-08,2.8832471849494006e-08
65,2.683996131451846e-08,2.0658385064751476e-08
66,1.9383470868456038e-08,1.539639349831831e-08
67,1.4552466943222111e-08,1.1855881126909448e-08
68,1.1256493337965314e-08,9.285086006160452e-09
69,8.822851444387944e-09,7.2657295717352825e-09
70,6.887400575902661e-09,5.599381056108993e-09
71,5.283439288767331e-09,4.210413748049495e-09
72,3.950213114733791e-09,3.0761160257098255e-09
73,2.869209320983155e-09,2.1847433988892585e-09
74,2.0275805694805178e-09,1.516468372497842e-09
75,1.4028612690475323e-09,1.039572779769806e-09
76,9.612954361374362e-10,7.146394802655208e-10
77,6.628292832730621e-10,5.011783735350647e-10
78,4.676801844605524e-10,3.6328441226544303e-10
79,3.415052508646382e-10,2.728454374924319e-10
80,2.580515253117688e-10,2.1029503158065954e-10
81,1.994761912939439e-10,1.6359734006161374e-10
82,1.5508477649749551e-10,1.2633568914212314e-10
83,1.193494822359756e-10,9.56520156309774e-11
84,8.989866494104271e-11,7.051921745400077e-11
85,6.590115652323569e-11,5.055859045730465e-11
86,4.7005203189944564e-11,3.5396909612249474e-11
87,3.279428687288303e-11,2.4437648871338794e-11
88,2.2622956681931593e-11,1.6885192840362824e-11
89,1.5671812197073928e-11,1.1875477591581077e-11
90,1.1084091646343906e-11,8.61215238061058e-12
91,8.093593615473353e-12,6.455824496257603e-12
92,6.101134454880049e-12,4.9550237206986816e-12
93,4.69443369374332e-12,3.830819121013679e-12
94,3.6257538825365522e-12,2.9351817687897717e-12
95,2.7677817584967435e-12,2.2027968102471167e-12
96,2.066350962458463e-12,1.6098976978771045e-12
97,1.501910734959427e-12,1.146151389917741e-12
98,1.0644197030986005e-12,7.999953998390282e-13
99,7.411448338632284e-13,5.541900216823778e-13
100,5.137498784584527e-13,3.872891337405092e-13
101,3.6043341947800266e-13,2.772789233192571e-13
102,2.5960997255863794e-13,2.0491582702509709e-13
103,1.9297423000550473e-13,1.5561177528088062e-13
104,1.4702880035461195e-13,1.197353469522414e-13
105,1.1310883146024676e-13,9.180814351658954e-14
106,8.643706682313882e-14,6.921571521160637e-14
107,6.481275761565167e-14,5.093089455724411e-14
108,4.739115895555752e-14,3.6551548751568874e-14
109,3.380723954756644e-14,2.573919020075126e-14
110,2.3695688511512632e-14,1.8005266703905566e-14
111,1.6532639414180417e-14,1.2720319115796863e-14
112,1.1672971570222846e-14,9.216871965652934e-15
113,8.45942398248839e-15,6.899579241296361e-15
114,6.323973466512959e-15,5.312083079930975e-15
115,4.8437410020491994e-15,4.151412783566883e-15
116,3.746590680280103e-15,3.247387751028719e-15
117,2.8837237792984884e-15,2.5179739294247447e-15
118,2.187255961391179e-15,1.932538745582914e-15
119,1.6309101713562299e-15,1.4779794238292789e-15
120,1.2021344575528782e-15,1.1409041635810622e-15
121,8.871153042363643e-16,9.032033564612541e-16
122,6.666299836973685e-16,7.4190926530223785e-16
123,5.181786155311595e-16,6.349176121690273e-16
124,4.1978880491177304e-16,5.635869599620753e-16
125,3.5335183035598737e-16,5.134315817428587e-16
126,3.059358800420368e-16,4.749163620853394e-16
127,2.698252355316597e-16,4.443598842103176e-16
128,2.410445571666216e-16,4.202294414093821e-16
129,2.1794560873339423e-16,4.0151472745465606e-16
130,1.998655939670999e-16,3.879026274568488e-16
131,1.8632677965431763e-16,3.7843374428566203e-16
132,1.7669429201160767e-16,3.7218652522288557e-16
133,1.700993200867895e-16,3.678467030738812e-16
134,1.657013012675826e-16,3.6532802799010693e-16
135,1.627623924803989e-16,3.6384992388201676e-16
136,1.6072064334238937e-16,3.628829194629368e-16
137,1.5916537098340996e-16,3.6185987157043367e-16
138,1.5793653737672507e-16,3.6162600377723577e-16
139,1.5697608346043936e-16,3.619661165058035e-16
140,1.562336375171943e-16,3.6180534435867335e-16
141,1.5565451534720263e-16,3.612790235015933e-16
142,1.5523552001824256e-16,3.610726646554343e-16
143,1.5495565399770935e-16,3.6082437457781324e-16
144,1.5477777926479663e-16,3.6027629476169965e-16
145,1.546528444599864e-16,3.5946133450388087e-16
146,1.5452381143978566e-16,3.587342497740462e-16
147,1.5442178074684662e-16,3.5755226677658294e-16
148,1.5435100250927772e-16,3.560501808788166e-16
149,1.5432370246136298e-16,3.5471526426144445e-16
150,1.5426562383223797e-16,3.541583797416356e-16
151,1.5423281463899987e-16,3.5396936133174337e-16
152,1.5421030317566293e-16,3.534250268603847e-16
153,1.5420736212936657e-16,3.524166223611824e-16
154,1.5417987093035824e-16,3.515083320136122e-16
155,1.5420665770896268e-16,3.504864036563842e-16
156,1.541722801969687e-16,3.499928783678291e-16
157,1.5416210043104791e-16,3.4955576979657765e-16
158,1.5417314603090599e-16,3.4900348413834086e-16
159,1.5416702978983618e-16,3.4857818682471477e-16
160,1.5417938496774016e-16,3.4804546840443655e-16
161,1.5418115065194405e-16,3.468016358975883e-16
162,1.5421321405447318e-16,3.4604624809149994e-16
163,1.5419633535783235e-16,3.4614108584326745e-16
164,1.541834890471024e-16,3.4595324128652454e-16
165,1.5418903930629544e-16,3.4590925125495145e-16
166,1.5419642336597492e-16,3.459134613172059e-16
167,1.541903030504691e-16,3.4536189313852547e-16
168,1.5420610401535556e-16,3.449748615557533e-16
169,1.542042361344512e-16,3.4458243569113083e-16
170,1.5420224974001677e-16,3.4393697273634527e-16
171,1.5422033943086704e-16,3.4355347235832e-16
172,1.5422478478585835e-16,3.438102173661246e-16
173,1.5422375249036442e-16,3.444901103300148e-16
174,1.5420340303866455e-16,3.4516297113891683e-16
175,1.5419272298234752e-16,3.4556667761160416e-16
176,1.5419202717678976e-16,3.4591828829162648e-16
177,1.541864052733019e-16,3.4626690812570546e-16
178,1.5421213411231524e-16,3.470433660588398e-16
179,1.5417410191689963e-16,3.471816764397943e-16
180,1.5416726528865885e-16,3.4763252019525494e-16
181,1.5416765616638503e-16,3.4833118589406385e-16
182,1.5419012721795262e-16,3.493746815475673e-16
183,1.541615462281627e-16,3.499604300492319e-16
184,1.5415627442706547e-16,3.5071903245708575e-16
185,1.5415607694300027e-16,3.515012853208735e-16
186,1.5419266599116222e-16,3.52106263573561e-16
187,1.5416811224338194e-16,3.518530780669035e-16
188,1.5416020290337026e-16,3.5197733553696735e-16
189,1.5418097908785914e-16,3.516831510943411e-16
190,1.5416044988844892e-16,3.5146531670601843e-16
191,1.5416715876947559e-16,3.5160419567732585e-16
192,1.5415926704293708e-16,3.518219532974261e-16
193,1.5418638930987027e-16,3.5200165205074855e-16
194,1.5417248239751535e-16,3.523028158377699e-16
195,1.5423969743330615e-16,3.523196916750994e-16
196,1.550000380678974e-16,3.5603656071808006e-16
197,1.6393898351764106e-16,4.0896299951609507e-16
198,2.7260377114029114e-16,1.080764218038539e-15
199,1.6510255375084226e-15,9.777380696619662e-15
200,1.9479274844992225e-14,1.2024817817565785e-13
201,2.3790730261936263e-13,1.32628886767657e-12
202,2.401085964063835e-12,1.1011388144103344e-11
203,1.8550817346653268e-11,7.741310200873394e-11
204,1.2738185326342064e-10,4.758804409000781e-10
205,6.746227066336343e-10,1.4377743260087706e-09
206,1.5351901263729455e-09,1.5951752421552821e-09
207,1.608375810465234e-09,1.8174023731318112e-09
