timestep,x,y,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6
0,0,1,0.0,0.0,0.0,0.0,0.0,1.8133075e-09
0,0,8,0.0,1.9445756e-09,0.0,0.0,2.981891e-09,0.0
0,0,10,0.0,0.0,0.0,0.0,0.0,2.4632538e-10
0,0,20,0.0,0.0,0.0,0.0,0.0,5.1487623e-09
0,0,22,0.0,0.0,0.0,0.0,0.0,1.7312751e-09
0,0,26,0.0,0.0,0.0,0.0,0.0,1.7693397e-09
0,0,27,0.0,0.0,3.4173016e-09,4.9507026e-10,8.034585e-10,0.0
0,0,29,0.0,0.0,1.4183374e-09,0.0,0.0,0.0
0,0,34,1.2753909e-11,0.0,0.0,0.0,0.0,0.0
0,0,35,0.0,0.0,0.0,0.0,0.0,5.688784e-09
0,0,40,0.0,0.0,0.0,0.0,0.0,1.5284832e-09
0,0,42,0.0,2.2814781e-09,0.0,0.0,2.7809586e-09,0.0
0,0,43,0.0,9.494405e-12,0.0,0.0,0.0,0.0
0,0,48,0.0,1.7339596e-09,0.0,0.0,4.0153845e-09,1.6099181e-09
0,0,50,0.0,1.729821e-09,0.0,0.0,2.895034e-09,1.5758284e-09
0,0,55,0.0,3.5898782e-09,0.0,0.0,4.4119597e-09,0.0
0,0,56,0.0,0.0,0.0,0.0,0.0,3.0283291e-09
0,0,58,2.830508e-11,0.0,0.0,0.0,0.0,0.0
0,0,60,0.0,0.0,0.0,0.0,0.0,2.48572e-09
0,0,65,0.0,1.2630237e-09,0.0,0.0,1.2610455e-09,0.0
0,0,66,0.0,1.3613304e-09,0.0,0.0,1.1512047e-09,0.0
0,0,70,0.0,1.0848774e-09,0.0,0.0,1.1316683e-09,0.0
0,0,74,0.0,2.3846365e-09,0.0,0.0,4.0890145e-09,1.6117799e-09
0,0,78,0.0,4.2961246e-10,0.0,0.0,0.0,0.0
0,0,79,0.0,3.6420704e-09,0.0,0.0,4.4809347e-09,0.0
0,0,81,0.0,0.0,0.0,0.0,0.0,1.8776674e-09
0,0,83,0.0,0.0,0.0,0.0,0.0,5.233686e-09
0,0,84,0.0,3.3970753e-09,0.0,0.0,4.2453903e-09,0.0
0,0,86,0.0,0.0,0.0,0.0,3.6656234e-11,0.0
0,0,87,0.0,0.0,2.997096e-09,0.0,8.369483e-10,0.0
0,0,93,0.0,0.0,1.6745094e-09,0.0,0.0,0.0
0,1,2,0.0,0.0,0.0,0.0,0.0,1.5400213e-09
0,1,7,0.0,0.0,0.0,0.0,0.0,1.9556603e-09
0,1,8,0.0,2.507417e-10,0.0,0.0,0.0,7.883075e-11
0,1,9,0.0,0.0,0.0,1.35972344e-11,0.0,0.0
0,1,10,0.0,0.0,0.0,0.0,2.48212e-11,1.6066092e-09
0,1,11,0.0,3.3779233e-09,0.0,0.0,4.4793236e-09,0.0
0,1,19,0.0,2.1092719e-09,0.0,0.0,2.8625828e-09,0.0
0,1,20,0.0,0.0,0.0,0.0,0.0,1.8048611e-09
0,1,26,0.0,2.221583e-09,0.0,0.0,2.6033176e-09,1.73317e-09
0,1,30,0.0,1.3586896e-09,0.0,0.0,1.6937961e-09,0.0
0,1,31,0.0,3.4746062e-09,0.0,0.0,4.3978092e-09,0.0
0,1,32,0.0,5.029395e-10,0.0,0.0,0.0,4.6528275e-09
0,1,33,0.0,0.0,0.0,0.0,0.0,2.0829614e-09
0,1,40,0.0,2.4640445e-09,0.0,0.0,3.178612e-09,1.7437383e-09
0,1,47,0.0,0.0,0.0,0.0,0.0,4.783867e-09
0,1,50,0.0,1.0871963e-09,0.0,0.0,0.0,0.0
0,1,52,0.0,1.2502285e-09,0.0,0.0,0.0,0.0
0,1,53,0.0,1.3396799e-09,0.0,0.0,0.0,0.0
0,1,58,0.0,2.2406492e-09,0.0,0.0,4.149271e-09,0.0
0,1,59,0.0,0.0,0.0,0.0,0.0,2.9420182e-09
0,1,63,0.0,8.040306e-11,0.0,0.0,0.0,0.0
0,1,72,0.0,0.0,0.0,0.0,0.0,1.4975388e-09
0,1,74,0.0,1.3445067e-09,0.0,0.0,1.5808288e-09,0.0
0,1,76,0.0,0.0,0.0,0.0,2.7943807e-09,1.4397613e-09
0,1,80,0.0,0.0,0.0,0.0,0.0,7.876014e-11
0,1,83,0.0,2.1995388e-09,0.0,0.0,3.1097651e-09,1.9395676e-09
0,1,84,0.0,3.743028e-09,0.0,0.0,4.2661776e-09,5.4694747e-09
0,1,85,0.0,1.2527432e-09,0.0,0.0,1.6627761e-09,0.0
0,1,87,0.0,0.0,1.5578095e-09,1.6315763e-10,0.0,0.0
0,1,89,0.0,0.0,0.0,0.0,4.0929926e-11,0.0
0,1,99,0.0,9.566141e-10,0.0,0.0,0.0,0.0
0,2,2,0.0,0.0,0.0,0.0,0.0,2.1112783e-09
0,2,7,0.0,0.0,5.756229e-12,0.0,0.0,5.75954e-09
0,2,9,0.0,0.0,0.0,0.0,0.0,1.8792352e-09
0,2,14,0.0,0.0,0.0,0.0,0.0,1.6385286e-09
0,2,15,0.0,0.0,0.0,0.0,1.529684e-09,0.0
0,2,17,0.0,0.0,0.0,0.0,0.0,1.6969908e-09
0,2,21,0.0,0.0,0.0,0.0,0.0,1.711874e-09
0,2,26,0.0,0.0,1.4697576e-09,0.0,3.9123801e-10,0.0
0,2,29,0.0,0.0,0.0,0.0,0.0,2.6889209e-09
0,2,32,0.0,0.0,0.0,0.0,0.0,1.7688282e-09
0,2,37,0.0,0.0,0.0,0.0,0.0,1.9035764e-09
0,2,38,0.0,0.0,0.0,0.0,0.0,5.246946e-10
0,2,39,0.0,2.7925418e-09,0.0,0.0,4.3954445e-09,2.4263742e-09
0,2,40,0.0,3.3452308e-10,0.0,0.0,0.0,6.063463e-10
0,2,41,0.0,0.0,0.0,0.0,0.0,1.3714734e-09
0,2,44,0.0,0.0,0.0,2.3345659e-11,0.0,0.0
0,2,46,0.0,0.0,0.0,0.0,0.0,1.8374127e-09
0,2,51,0.0,1.3746743e-09,0.0,0.0,1.4054076e-09,0.0
0,2,53,0.0,0.0,0.0,0.0,0.0,1.5278272e-09
0,2,55,0.0,1.4004012e-09,0.0,2.578704e-11,1.4439826e-09,0.0
0,2,57,0.0,0.0,0.0,0.0,2.666805e-09,1.5380659e-09
0,2,58,0.0,1.2827259e-09,0.0,0.0,1.4242036e-09,0.0
0,2,60,0.0,1.1721951e-09,0.0,0.0,1.3546094e-09,0.0
0,2,61,0.0,9.566681e-12,0.0,0.0,0.0,0.0
0,2,63,0.0,0.0,0.0,0.0,5.287787e-11,0.0
0,2,65,0.0,3.001706e-09,0.0,0.0,4.256662e-09,0.0
0,2,79,0.0,0.0,0.0,0.0,0.0,1.7037813e-09
0,2,80,0.0,0.0,0.0,0.0,0.0,8.028033e-09
0,2,83,0.0,2.0080153e-09,0.0,0.0,2.6723848e-09,0.0
